epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8019,1.24659,0.90103,1.13556,0.99167,0.97311,0.99401,0.65943,1.18594,0.57646,1.10787,0.000332526,0.000332526,0.0670799
2,55.4787,1.20592,0.63419,1.11142,0.98643,0.989,0.9939,0.62805,1.31516,0.59821,1.17565,0.000659268,0.000659268,0.0340733
3,75.8056,1.17602,0.61336,1.09635,0.96813,0.99267,0.98423,0.67048,1.13313,0.58206,1.08793,0.000979409,0.000979409,0.00106012
4,95.9435,1.15556,0.58629,1.0876,0.9745,0.98125,0.99216,0.64878,1.20437,0.56329,1.10861,0.0009703,0.0009703,0.0009703
5,115.793,1.13422,0.56369,1.07233,0.97474,0.98778,0.99227,0.68983,1.11328,0.53512,1.06695,0.0009604,0.0009604,0.0009604
6,135.441,1.12213,0.54459,1.06545,0.98972,0.98778,0.99455,0.68339,1.12223,0.49137,1.07774,0.0009505,0.0009505,0.0009505
7,155.307,1.1047,0.53648,1.06217,0.9951,0.99264,0.99434,0.69278,1.10326,0.4601,1.06501,0.0009406,0.0009406,0.0009406
8,175.337,1.09591,0.52206,1.05775,0.9842,0.98977,0.99358,0.69827,1.08957,0.46783,1.05767,0.0009307,0.0009307,0.0009307
9,195.347,1.09236,0.51692,1.05881,0.98542,0.99127,0.99254,0.705,1.08116,0.46656,1.0546,0.0009208,0.0009208,0.0009208
10,215.375,1.09252,0.50713,1.05662,0.99398,0.989,0.99346,0.70297,1.08141,0.44044,1.05425,0.0009109,0.0009109,0.0009109
11,235.115,1.07968,0.49878,1.0544,0.99265,0.99128,0.99389,0.70177,1.07109,0.4339,1.04719,0.000901,0.000901,0.000901
12,254.933,1.06817,0.48974,1.04158,0.99174,0.99511,0.99345,0.70539,1.0597,0.42696,1.0455,0.0008911,0.0008911,0.0008911
13,275.08,1.0757,0.4937,1.04831,0.99148,0.99568,0.99209,0.70205,1.08907,0.44455,1.04684,0.0008812,0.0008812,0.0008812
14,295.137,1.06687,0.48387,1.04716,0.9935,0.99022,0.99472,0.70145,1.09066,0.42691,1.053,0.0008713,0.0008713,0.0008713
15,315.236,1.05743,0.4767,1.04478,0.99386,0.98871,0.99432,0.70528,1.0771,0.4342,1.04717,0.0008614,0.0008614,0.0008614
16,335.048,1.05324,0.47361,1.03774,0.98428,0.99539,0.99218,0.70393,1.06809,0.44002,1.04905,0.0008515,0.0008515,0.0008515
17,355.056,1.05606,0.4739,1.04298,0.9951,0.99633,0.99485,0.70908,1.05726,0.41305,1.03727,0.0008416,0.0008416,0.0008416
18,375.195,1.04779,0.46499,1.03825,0.99256,0.99633,0.99366,0.71472,1.04603,0.41459,1.0336,0.0008317,0.0008317,0.0008317
19,395.115,1.0372,0.45496,1.03026,0.99379,1,0.9946,0.7142,1.0536,0.39524,1.03372,0.0008218,0.0008218,0.0008218
20,415.171,1.05017,0.46195,1.0405,0.98867,0.99756,0.99448,0.7163,1.04701,0.41332,1.03283,0.0008119,0.0008119,0.0008119
21,435.105,1.03728,0.45708,1.03567,0.98904,0.99328,0.99451,0.71201,1.06595,0.41361,1.04225,0.000802,0.000802,0.000802
22,455.18,1.03559,0.45178,1.03082,0.98844,0.99633,0.99305,0.70653,1.05954,0.40535,1.03828,0.0007921,0.0007921,0.0007921
23,475.208,1.02799,0.45024,1.0278,0.99295,0.99267,0.9949,0.711,1.06162,0.40478,1.0379,0.0007822,0.0007822,0.0007822
24,495.276,1.01539,0.44176,1.02834,0.98961,0.99756,0.9942,0.718,1.04974,0.40426,1.03728,0.0007723,0.0007723,0.0007723
25,515.344,1.03173,0.44903,1.02674,0.9927,0.99771,0.99495,0.71859,1.03009,0.39105,1.02581,0.0007624,0.0007624,0.0007624
26,535.355,1.02606,0.44127,1.02456,0.99026,0.99432,0.99415,0.72534,1.03394,0.38849,1.02929,0.0007525,0.0007525,0.0007525
27,555.456,1.0151,0.43537,1.02741,0.99022,0.99756,0.99349,0.71119,1.05325,0.39421,1.03736,0.0007426,0.0007426,0.0007426
28,575.571,1.01862,0.43354,1.0269,0.99098,0.99511,0.99421,0.7179,1.04836,0.40333,1.0347,0.0007327,0.0007327,0.0007327
29,595.665,1.021,0.43865,1.02638,0.99147,0.99511,0.99478,0.71818,1.04999,0.39742,1.03402,0.0007228,0.0007228,0.0007228
30,615.736,1.01852,0.43826,1.02551,0.99717,1,0.99495,0.71699,1.0459,0.38462,1.0393,0.0007129,0.0007129,0.0007129
